,artist,reviewauthor,releaseyear,recordlabel,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,rmse_train,rmse_test
0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.2269831005315714,1.2436621681999755
1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1812630182526125,1.1952980321997757
2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.2359943530488058,1.2329889877869367
3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1.2043261717891016,1.2345527819944297
4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.234401354496885,1.234425282164156
5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.2403624811168052,1.2410973292249405
6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1.2408996348511498,1.2399286592054193
7,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.243496923174605,1.243822660244847
8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.236967730886892,1.2375777042172245
9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.243530352132152,1.243566151913721
10,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.240369660255145,1.2401879201402712
11,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.2389894862716466,1.2388395338493399
12,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.2435343862705004,1.2435584929958006
13,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.2422681208896402,1.240970326916011
14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.2431951977873865,1.2423217897872323
15,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,1.2330909558758991,1.2355537165857045
16,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,1.1204367890098765,1.1776936576901278
17,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.1169817222383065,1.176027979900602
